Sentence,Sentiment,Tokens
Profit after taxes was EUR 01 mn  compared to EUR 04 mn the previous year ,positive,"['Profit', 'after', 'taxes', 'was', 'EUR', '01', 'mn', 'compared', 'to', 'EUR', '04', 'mn', 'the', 'previous', 'year']"
Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala s factory in Shenzhen  China ,neutral,"['Currently', 'the', 'Terminator', 'lures', 'are', 'produced', 'in', 'a', 'subcontract', 'facility', 'in', 'Mexico', 'but', 'the', 'manufacturing', 'will', 'be', 'transferred', 'to', 'Rapala', 's', 'factory', 'in', 'Shenzhen', 'China']"
Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant  according to the company ,neutral,"['Changes', 'in', 'the', 'market', 'situation', 'and', 'tougher', 'price', 'competition', 'have', 'substantially', 'reduced', 'demand', 'for', 'bread', 'packaging', 'manufactured', 'at', 'the', 'Kauhava', 'plant', 'according', 'to', 'the', 'company']"
 ADP News   Feb 4  2009  Finnish broadband data communication systems and solutions company Teleste Oyj  HEL  TLT1V  said today its net profit decreased to EUR 55 million  USD 72 m  for 2008 from EUR 94 million for 200,negative,"['ADP', 'News', 'Feb', '4', '2009', 'Finnish', 'broadband', 'data', 'communication', 'systems', 'and', 'solutions', 'company', 'Teleste', 'Oyj', 'HEL', 'TLT1V', 'said', 'today', 'its', 'net', 'profit', 'decreased', 'to', 'EUR', '55', 'million', 'USD', '72', 'm', 'for', '2008', 'from', 'EUR', '94', 'million', 'for', '200']"
HELSINKI  AFX   Shares closed higher  led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets  and by Nokian Tyres after its fourthquarter earnings report beat analysts  expectations  dealers said ,positive,"['HELSINKI', 'AFX', 'Shares', 'closed', 'higher', 'led', 'by', 'Nokia', 'after', 'it', 'announced', 'plans', 'to', 'team', 'up', 'with', 'Sanyo', 'to', 'manufacture', '3G', 'handsets', 'and', 'by', 'Nokian', 'Tyres', 'after', 'its', 'fourthquarter', 'earnings', 'report', 'beat', 'analysts', 'expectations', 'dealers', 'said']"
Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 11 mn in the second quarter of 2007 ,neutral,"['Finnish', 'navigation', 'device', 'manufacturer', 'Benefon', 'that', 'is', 'changing', 'its', 'name', 'to', 'GeoSentric', 'reports', 'net', 'sales', 'of', 'about', 'EUR', '11', 'mn', 'in', 'the', 'second', 'quarter', 'of', '2007']"
A Le Coq had a market share of 413 percent and rival beverage group Saku 321 percent ,neutral,"['A', 'Le', 'Coq', 'had', 'a', 'market', 'share', 'of', '413', 'percent', 'and', 'rival', 'beverage', 'group', 'Saku', '321', 'percent']"
Particular attention is being paid to energy efficiency in the construction of the building  as it is designed to meet the requirements of energy class B  and LEED certification will be applied for ,neutral,"['Particular', 'attention', 'is', 'being', 'paid', 'to', 'energy', 'efficiency', 'in', 'the', 'construction', 'of', 'the', 'building', 'as', 'it', 'is', 'designed', 'to', 'meet', 'the', 'requirements', 'of', 'energy', 'class', 'B', 'and', 'LEED', 'certification', 'will', 'be', 'applied', 'for']"
Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars ,neutral,"['Today', 'the', 'orange', 'scissors', 'are', 'the', 'iconic', 'symbol', 'of', 'the', 'excellent', 'ergonomic', 'design', 'and', 'superior', 'quality', 'associated', 'with', 'every', 'product', 'from', 'Fiskars']"
At the close  the OMX Helsinki 25 was 001 pct lower at 306764 points and the OMX Helsinki was down 005 pct at 1032146 points on over 1343 bln eur of turnover ,neutral,"['At', 'the', 'close', 'the', 'OMX', 'Helsinki', '25', 'was', '001', 'pct', 'lower', 'at', '306764', 'points', 'and', 'the', 'OMX', 'Helsinki', 'was', 'down', '005', 'pct', 'at', '1032146', 'points', 'on', 'over', '1343', 'bln', 'eur', 'of', 'turnover']"
Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica  including their electrical systems  are fully in working order ,positive,"['Tallink', 'claims', 'the', 'watertight', 'doors', 'of', 'both', 'Vana', 'Tallinn', 'and', 'Regina', 'Baltica', 'including', 'their', 'electrical', 'systems', 'are', 'fully', 'in', 'working', 'order']"
This resulted in improved sales figures in Sweden ,positive,"['This', 'resulted', 'in', 'improved', 'sales', 'figures', 'in', 'Sweden']"
The arrangements do not apply to the group s units outside Finland ,neutral,"['The', 'arrangements', 'do', 'not', 'apply', 'to', 'the', 'group', 's', 'units', 'outside', 'Finland']"
Operating profit was EUR 16 mn in 2005 compared to EUR 59 mn in 2004 ,neutral,"['Operating', 'profit', 'was', 'EUR', '16', 'mn', 'in', '2005', 'compared', 'to', 'EUR', '59', 'mn', 'in', '2004']"
RBI surprises Street Sensex pares gains after hitting mount 30k,negative,"['RBI', 'surprises', 'Street', 'Sensex', 'pares', 'gains', 'after', 'hitting', 'mount', '30k']"
 ADP News   Sep 30  2008  Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 19 million  EUR 13 m  order to deliver its StoneGate network security products to an unnamed Russian te,positive,"['ADP', 'News', 'Sep', '30', '2008', 'Finnish', 'security', 'and', 'privacy', 'software', 'solutions', 'developer', 'Stonesoft', 'Oyj', 'said', 'today', 'that', 'it', 'won', 'a', 'USD', '19', 'million', 'EUR', '13', 'm', 'order', 'to', 'deliver', 'its', 'StoneGate', 'network', 'security', 'products', 'to', 'an', 'unnamed', 'Russian', 'te']"
Tieto s service is also used to send  process and receive materials related to absentee voting ,neutral,"['Tieto', 's', 'service', 'is', 'also', 'used', 'to', 'send', 'process', 'and', 'receive', 'materials', 'related', 'to', 'absentee', 'voting']"
Finlandbased Stockmann Group has closed seven franchising sports stores Nike in Russia ,negative,"['Finlandbased', 'Stockmann', 'Group', 'has', 'closed', 'seven', 'franchising', 'sports', 'stores', 'Nike', 'in', 'Russia']"
Whitbread Profit Up As Sales Continue To Rise Looking For New CEO,positive,"['Whitbread', 'Profit', 'Up', 'As', 'Sales', 'Continue', 'To', 'Rise', 'Looking', 'For', 'New', 'CEO']"
Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity ,positive,"['Aspocomp', 'has', 'repaid', 'its', 'interest', 'bearing', 'liability', 'to', 'Standard', 'Chartered', 'Bank', 'and', 'will', 'use', 'the', 'rest', 'of', 'the', 'consideration', 'to', 'partially', 'repay', 'its', 'interest', 'bearing', 'liabilities', 'in', 'Finland', 'and', 'to', 'improve', 'its', 'liquidity']"
Fastenal misses by 001 misses on revenue FAST NYSE httpstco63JHQ7pwMN,negative,"['Fastenal', 'misses', 'by', '001', 'misses', 'on', 'revenue', 'FAST', 'NYSE', 'httpstco63JHQ7pwMN']"
Finnish investment group Norvestia Oyj said its net profit fell to 235 mln euro  306 mln in 2006 from 335 mln euro  436 mln in 2005 ,neutral,"['Finnish', 'investment', 'group', 'Norvestia', 'Oyj', 'said', 'its', 'net', 'profit', 'fell', 'to', '235', 'mln', 'euro', '306', 'mln', 'in', '2006', 'from', '335', 'mln', 'euro', '436', 'mln', 'in', '2005']"
The commission found evidence of several meetings to discuss the cartel  including one in a Brussels restaurant in November 1997 at which the companies discussed price increases ,neutral,"['The', 'commission', 'found', 'evidence', 'of', 'several', 'meetings', 'to', 'discuss', 'the', 'cartel', 'including', 'one', 'in', 'a', 'Brussels', 'restaurant', 'in', 'November', '1997', 'at', 'which', 'the', 'companies', 'discussed', 'price', 'increases']"
As part of the reorganisation measures that will take place in spring 2006  Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 ,neutral,"['As', 'part', 'of', 'the', 'reorganisation', 'measures', 'that', 'will', 'take', 'place', 'in', 'spring', '2006', 'Tamglass', 'Finton', 'will', 'start', 'personnel', 'negotiations', 'that', 'will', 'affect', 'its', 'entire', 'staff', 'of', '33']"
This corrensponds to 4628 percent of Okmetic s share capital and voting rights ,neutral,"['This', 'corrensponds', 'to', '4628', 'percent', 'of', 'Okmetic', 's', 'share', 'capital', 'and', 'voting', 'rights']"
Tim Cockroft brings with him an excellent track record having more than 18 years experience  moreover  Tim has successfully developed the Capital Markets operations at Kaupthing Singer  Friedlander involving corporate finance and broking with a focus on midmarket companies ,positive,"['Tim', 'Cockroft', 'brings', 'with', 'him', 'an', 'excellent', 'track', 'record', 'having', 'more', 'than', '18', 'years', 'experience', 'moreover', 'Tim', 'has', 'successfully', 'developed', 'the', 'Capital', 'Markets', 'operations', 'at', 'Kaupthing', 'Singer', 'Friedlander', 'involving', 'corporate', 'finance', 'and', 'broking', 'with', 'a', 'focus', 'on', 'midmarket', 'companies']"
25 November 2010  Finnish paints and coatings company Tikkurila Oyj  HEL  TIK1V  said today that Finnish stateowned investment company Solidium Oy sold its 147  stake in the company for a total of EUR98m ,neutral,"['25', 'November', '2010', 'Finnish', 'paints', 'and', 'coatings', 'company', 'Tikkurila', 'Oyj', 'HEL', 'TIK1V', 'said', 'today', 'that', 'Finnish', 'stateowned', 'investment', 'company', 'Solidium', 'Oy', 'sold', 'its', '147', 'stake', 'in', 'the', 'company', 'for', 'a', 'total', 'of', 'EUR98m']"
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway ,neutral,"['Runway', 'Visual', 'Range', 'is', 'a', 'calculated', 'assessment', 'of', 'the', 'distance', 'that', 'a', 'pilot', 'can', 'see', 'down', 'a', 'runway']"
ABN Amro Capital has agreed to sell its Helsinkibased designer homeware producer  Iittala Oyj  to crosstown consumer products group Fiskars Corp  for EUR230 million to EUR235 million   310 million to  316 million  ,neutral,"['ABN', 'Amro', 'Capital', 'has', 'agreed', 'to', 'sell', 'its', 'Helsinkibased', 'designer', 'homeware', 'producer', 'Iittala', 'Oyj', 'to', 'crosstown', 'consumer', 'products', 'group', 'Fiskars', 'Corp', 'for', 'EUR230', 'million', 'to', 'EUR235', 'million', '310', 'million', 'to', '316', 'million']"
Feed companies Suomen Rehu and Raisio do no import GMO feed ,neutral,"['Feed', 'companies', 'Suomen', 'Rehu', 'and', 'Raisio', 'do', 'no', 'import', 'GMO', 'feed']"
Tecnomen s solution can be used for prepaid and postpaid billing  for charging and rating of voice and video calls  data traffic and any kind of content services in both mobile and fixed networks ,neutral,"['Tecnomen', 's', 'solution', 'can', 'be', 'used', 'for', 'prepaid', 'and', 'postpaid', 'billing', 'for', 'charging', 'and', 'rating', 'of', 'voice', 'and', 'video', 'calls', 'data', 'traffic', 'and', 'any', 'kind', 'of', 'content', 'services', 'in', 'both', 'mobile', 'and', 'fixed', 'networks']"
Performance is based on values and sustainability ,neutral,"['Performance', 'is', 'based', 'on', 'values', 'and', 'sustainability']"
Biohit said that it will reduce the number of leased personnel by 10  and lay off 10 of its own personnel ,neutral,"['Biohit', 'said', 'that', 'it', 'will', 'reduce', 'the', 'number', 'of', 'leased', 'personnel', 'by', '10', 'and', 'lay', 'off', '10', 'of', 'its', 'own', 'personnel']"
GEVO PLUNGING  Back to 355,negative,"['GEVO', 'PLUNGING', 'Back', 'to', '355']"
The company s net profit rose 114  on the year to 822 million euros in 2005 on sales of 6865 million euros  138  up on the year  the company said earlier ,positive,"['The', 'company', 's', 'net', 'profit', 'rose', '114', 'on', 'the', 'year', 'to', '822', 'million', 'euros', 'in', '2005', 'on', 'sales', 'of', '6865', 'million', 'euros', '138', 'up', 'on', 'the', 'year', 'the', 'company', 'said', 'earlier']"
Earnings per share EPS amounted to EUR0 01 ,neutral,"['Earnings', 'per', 'share', 'EPS', 'amounted', 'to', 'EUR0', '01']"
Ingenious HSBC UBS and Coutts sued by tax avoidance clients,negative,"['Ingenious', 'HSBC', 'UBS', 'and', 'Coutts', 'sued', 'by', 'tax', 'avoidance', 'clients']"
A purchase agreement for 7200 tons of gasoline with delivery at the Hamina terminal  Finland  was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month ,positive,"['A', 'purchase', 'agreement', 'for', '7200', 'tons', 'of', 'gasoline', 'with', 'delivery', 'at', 'the', 'Hamina', 'terminal', 'Finland', 'was', 'signed', 'with', 'Neste', 'Oil', 'OYj', 'at', 'the', 'average', 'Platts', 'index', 'for', 'this', 'September', 'plus', 'eight', 'US', 'dollars', 'per', 'month']"
Short on ATVI from 2455,negative,"['Short', 'on', 'ATVI', 'from', '2455']"
PKT Momentum building for breakout trigger  Long setup httpstkscoeXVU,positive,"['PKT', 'Momentum', 'building', 'for', 'breakout', 'trigger', 'Long', 'setup', 'httpstkscoeXVU']"
The platform would continue to be the development framework for Symbian and MeeGo ,neutral,"['The', 'platform', 'would', 'continue', 'to', 'be', 'the', 'development', 'framework', 'for', 'Symbian', 'and', 'MeeGo']"
19 May 2010  Finnish company Lemminkainen Oyj  HEL  LEM1S  said today that it will construct an office building at Toolonlahti in downtown Helsinki  without disclosing financial details ,neutral,"['19', 'May', '2010', 'Finnish', 'company', 'Lemminkainen', 'Oyj', 'HEL', 'LEM1S', 'said', 'today', 'that', 'it', 'will', 'construct', 'an', 'office', 'building', 'at', 'Toolonlahti', 'in', 'downtown', 'Helsinki', 'without', 'disclosing', 'financial', 'details']"
The final price will be specified by 14 May 2010  the acquiring company said ,neutral,"['The', 'final', 'price', 'will', 'be', 'specified', 'by', '14', 'May', '2010', 'the', 'acquiring', 'company', 'said']"
Nordea Pankki Suomi Oyj  according to previously announced  has made forward contracts on Alma Media Corporation shares ,neutral,"['Nordea', 'Pankki', 'Suomi', 'Oyj', 'according', 'to', 'previously', 'announced', 'has', 'made', 'forward', 'contracts', 'on', 'Alma', 'Media', 'Corporation', 'shares']"
Profit before taxes was EUR 40 mn  down from EUR 49 mn ,neutral,"['Profit', 'before', 'taxes', 'was', 'EUR', '40', 'mn', 'down', 'from', 'EUR', '49', 'mn']"
They both will report to OriolaKD s chief executive officer Eero Hautaniemi ,neutral,"['They', 'both', 'will', 'report', 'to', 'OriolaKD', 's', 'chief', 'executive', 'officer', 'Eero', 'Hautaniemi']"
By cutting the number of plants  the group will trim fixed costs ,positive,"['By', 'cutting', 'the', 'number', 'of', 'plants', 'the', 'group', 'will', 'trim', 'fixed', 'costs']"
SINA even though the report is untrue and has been proven unture the damage is done No one wants to touch it now,negative,"['SINA', 'even', 'though', 'the', 'report', 'is', 'untrue', 'and', 'has', 'been', 'proven', 'unture', 'the', 'damage', 'is', 'done', 'No', 'one', 'wants', 'to', 'touch', 'it', 'now']"
Merkels Government Said to Support Deutsche BoerseLSE Merger,positive,"['Merkels', 'Government', 'Said', 'to', 'Support', 'Deutsche', 'BoerseLSE', 'Merger']"
 Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro  ,neutral,"['Operating', 'profit', 'declined', 'mainly', 'due', 'to', 'the', 'increased', 'cost', 'of', 'wood', 'and', 'recycled', 'fiber', 'and', 'the', 'strengthened', 'euro']"
CompaniesTesco off to a bad start over Xmas  Kantar,negative,"['CompaniesTesco', 'off', 'to', 'a', 'bad', 'start', 'over', 'Xmas', 'Kantar']"
Capacity of the facility made by Finland s Vaahto Group is 86000 tons of light coated paper ,neutral,"['Capacity', 'of', 'the', 'facility', 'made', 'by', 'Finland', 's', 'Vaahto', 'Group', 'is', '86000', 'tons', 'of', 'light', 'coated', 'paper']"
17 March 2011  Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway s Telenor ASA OSL  TEL and Sweden s TeliaSonera AB STO  TLSN in the short term ,neutral,"['17', 'March', '2011', 'Goldman', 'Sachs', 'estimates', 'that', 'there', 'are', 'negative', 'prospects', 'for', 'the', 'Norwegian', 'mobile', 'operations', 'of', 'Norway', 's', 'Telenor', 'ASA', 'OSL', 'TEL', 'and', 'Sweden', 's', 'TeliaSonera', 'AB', 'STO', 'TLSN', 'in', 'the', 'short', 'term']"
Steek  which was set up in 2002  is based in Bordeaux  southwestern France ,neutral,"['Steek', 'which', 'was', 'set', 'up', 'in', '2002', 'is', 'based', 'in', 'Bordeaux', 'southwestern', 'France']"
President and CEO Mika Vehvilinen says the positive signs are first and foremost emerging outside Finland ,positive,"['President', 'and', 'CEO', 'Mika', 'Vehvilinen', 'says', 'the', 'positive', 'signs', 'are', 'first', 'and', 'foremost', 'emerging', 'outside', 'Finland']"
Finnish construction group Lemminkinen has been awarded two road building contracts by the Lithuanian transport administration ,positive,"['Finnish', 'construction', 'group', 'Lemminkinen', 'has', 'been', 'awarded', 'two', 'road', 'building', 'contracts', 'by', 'the', 'Lithuanian', 'transport', 'administration']"
According to Eijkens  a publisher can do much more than just publish colourful books  a publisher can provide value added to information by individualising it ,neutral,"['According', 'to', 'Eijkens', 'a', 'publisher', 'can', 'do', 'much', 'more', 'than', 'just', 'publish', 'colourful', 'books', 'a', 'publisher', 'can', 'provide', 'value', 'added', 'to', 'information', 'by', 'individualising', 'it']"
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki  OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 ,neutral,"['Finnish', 'silicon', 'wafer', 'technology', 'company', 'Okmetic', 'Oyj', 'OMX', 'Helsinki', 'OKM1V', 'said', 'on', 'Wednesday', '17', 'September', 'that', 'it', 'will', 'invest', 'EUR6m', 'in', 'its', 'sensor', 'wafer', 'business', 'during', '2009']"
RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales,positive,"['RAD', 'I', 'would', 'consider', 'this', 'opportunity', 'to', 'add', 'my', 'position', 'because', 'the', 'company', 'is', 'on', 'the', 'right', 'track', 'they', 'are', 'still', 'improving', 'sales']"
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced ,neutral,"['The', 'low', 'capacity', 'utilisation', 'rate', 'in', 'steel', 'production', 'considerably', 'increases', 'the', 'fixed', 'costs', 'per', 'unit', 'of', 'steel', 'produced']"
Work on the assignment has already started and is due for completion in spring 2011 ,neutral,"['Work', 'on', 'the', 'assignment', 'has', 'already', 'started', 'and', 'is', 'due', 'for', 'completion', 'in', 'spring', '2011']"
Progress Group  QPR s representative in Saudi Arabia and North Africa  has signed a framework agreement for a long term strategic relationship with ISE ,positive,"['Progress', 'Group', 'QPR', 's', 'representative', 'in', 'Saudi', 'Arabia', 'and', 'North', 'Africa', 'has', 'signed', 'a', 'framework', 'agreement', 'for', 'a', 'long', 'term', 'strategic', 'relationship', 'with', 'ISE']"
Finnish Bank of land reports its operating profit fell to EUR 49 mn in the third quarter of 2007 from EUR 56 mn in the third quarter of 2006 ,negative,"['Finnish', 'Bank', 'of', 'land', 'reports', 'its', 'operating', 'profit', 'fell', 'to', 'EUR', '49', 'mn', 'in', 'the', 'third', 'quarter', 'of', '2007', 'from', 'EUR', '56', 'mn', 'in', 'the', 'third', 'quarter', 'of', '2006']"
Finnish Kemira s net sales EUR decreased to EUR 12596 mn in JanuaryJune 2009 from EUR 14251 mn in JanuaryJune 2008 ,neutral,"['Finnish', 'Kemira', 's', 'net', 'sales', 'EUR', 'decreased', 'to', 'EUR', '12596', 'mn', 'in', 'JanuaryJune', '2009', 'from', 'EUR', '14251', 'mn', 'in', 'JanuaryJune', '2008']"
Financial terms were not disclosed ,neutral,"['Financial', 'terms', 'were', 'not', 'disclosed']"
The company may at any time have in its possession one tenth of all its shares at the maximum ,neutral,"['The', 'company', 'may', 'at', 'any', 'time', 'have', 'in', 'its', 'possession', 'one', 'tenth', 'of', 'all', 'its', 'shares', 'at', 'the', 'maximum']"
The value of the orders is about EUR 70mn ,neutral,"['The', 'value', 'of', 'the', 'orders', 'is', 'about', 'EUR', '70mn']"
RECAP MSFT rumor this morning had them spinning off XBOX unit stock grinds up all day to close on highs,positive,"['RECAP', 'MSFT', 'rumor', 'this', 'morning', 'had', 'them', 'spinning', 'off', 'XBOX', 'unit', 'stock', 'grinds', 'up', 'all', 'day', 'to', 'close', 'on', 'highs']"
According to Finnish Metso Minerals  the value of the company s orders has gone up to EUR 19 bn in 12 months ,positive,"['According', 'to', 'Finnish', 'Metso', 'Minerals', 'the', 'value', 'of', 'the', 'company', 's', 'orders', 'has', 'gone', 'up', 'to', 'EUR', '19', 'bn', 'in', '12', 'months']"
Therefore  the company s 2005 result will remain weaker than that of 2004 ,neutral,"['Therefore', 'the', 'company', 's', '2005', 'result', 'will', 'remain', 'weaker', 'than', 'that', 'of', '2004']"
Breakingviews IAG can pay more for Aer Lingus,positive,"['Breakingviews', 'IAG', 'can', 'pay', 'more', 'for', 'Aer', 'Lingus']"
The pine oil project is related to the upgrade of the chemical recovery plant of UPM at its pulp mill in Kymi  southern Finland ,neutral,"['The', 'pine', 'oil', 'project', 'is', 'related', 'to', 'the', 'upgrade', 'of', 'the', 'chemical', 'recovery', 'plant', 'of', 'UPM', 'at', 'its', 'pulp', 'mill', 'in', 'Kymi', 'southern', 'Finland']"
Standard Chartered Shifts EmergingMarkets Strategy After Losses,negative,"['Standard', 'Chartered', 'Shifts', 'EmergingMarkets', 'Strategy', 'After', 'Losses']"
AB InBev to Sell SABMiller Stake in Chinas Snow Beer,neutral,"['AB', 'InBev', 'to', 'Sell', 'SABMiller', 'Stake', 'in', 'Chinas', 'Snow', 'Beer']"
The Marubeni Group focuses on creating  value chain  from upstream to downstream  encompassing a wide variety of business fields  including oil  gas  metals  mineral resources  foods  pulp  paper and chemicals  among others ,neutral,"['The', 'Marubeni', 'Group', 'focuses', 'on', 'creating', 'value', 'chain', 'from', 'upstream', 'to', 'downstream', 'encompassing', 'a', 'wide', 'variety', 'of', 'business', 'fields', 'including', 'oil', 'gas', 'metals', 'mineral', 'resources', 'foods', 'pulp', 'paper', 'and', 'chemicals', 'among', 'others']"
Based upon its unique fiber expertise and innovative approach  the company has a strong market position in several business areas in which it operates ,positive,"['Based', 'upon', 'its', 'unique', 'fiber', 'expertise', 'and', 'innovative', 'approach', 'the', 'company', 'has', 'a', 'strong', 'market', 'position', 'in', 'several', 'business', 'areas', 'in', 'which', 'it', 'operates']"
The personnel s expertise and high level of technology play a major role in Exel Composites operations ,neutral,"['The', 'personnel', 's', 'expertise', 'and', 'high', 'level', 'of', 'technology', 'play', 'a', 'major', 'role', 'in', 'Exel', 'Composites', 'operations']"
CocaCola was the market leader of manufacturers with a market share of 369   down 22  from the corresponding period in 20042005 ,negative,"['CocaCola', 'was', 'the', 'market', 'leader', 'of', 'manufacturers', 'with', 'a', 'market', 'share', 'of', '369', 'down', '22', 'from', 'the', 'corresponding', 'period', 'in', '20042005']"
MetsaBotnia will sell 821  of its stake in the Uruguayan companies and Metsaliitto  55  ,neutral,"['MetsaBotnia', 'will', 'sell', '821', 'of', 'its', 'stake', 'in', 'the', 'Uruguayan', 'companies', 'and', 'Metsaliitto', '55']"
Aviva weighs cash handout after beating profit forecast,positive,"['Aviva', 'weighs', 'cash', 'handout', 'after', 'beating', 'profit', 'forecast']"
Tesla to recall 2700 Model X SUVs over seat issue httpstcoOdPraN59Xq TSLA httpstcoxvn4blIwpy httpstcoThfvWTnRPs,negative,"['Tesla', 'to', 'recall', '2700', 'Model', 'X', 'SUVs', 'over', 'seat', 'issue', 'httpstcoOdPraN59Xq', 'TSLA', 'httpstcoxvn4blIwpy', 'httpstcoThfvWTnRPs']"
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse ,neutral,"['Bovine', 'slaughtering', 'and', 'cutting', 'at', 'the', 'Kuopio', 'facility', 'will', 'be', 'transferred', 'to', 'the', 'Kauhajoki', 'slaughterhouse']"
 Adjustment to the fall in price level  in contrast  has been less effective ,neutral,"['Adjustment', 'to', 'the', 'fall', 'in', 'price', 'level', 'in', 'contrast', 'has', 'been', 'less', 'effective']"
Okmetic has a global customer base and sales network  production plants in Finland and the US and contract manufacturers in Japan and China ,neutral,"['Okmetic', 'has', 'a', 'global', 'customer', 'base', 'and', 'sales', 'network', 'production', 'plants', 'in', 'Finland', 'and', 'the', 'US', 'and', 'contract', 'manufacturers', 'in', 'Japan', 'and', 'China']"
Public services will also be available ,neutral,"['Public', 'services', 'will', 'also', 'be', 'available']"
Asian traffic declined by 34 per cent ,neutral,"['Asian', 'traffic', 'declined', 'by', '34', 'per', 'cent']"
Finnish and Swedish construction markets are still experiencing an estimated 4  annual growth in 2008 ,positive,"['Finnish', 'and', 'Swedish', 'construction', 'markets', 'are', 'still', 'experiencing', 'an', 'estimated', '4', 'annual', 'growth', 'in', '2008']"
Stock Exchange Release 1032011 1200 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report ,neutral,"['Stock', 'Exchange', 'Release', '1032011', '1200', 'Sanoma', 'has', 'published', 'its', 'Annual', 'Report', 'and', 'Financial', 'Statements', 'for', '2010', 'and', 'its', 'first', 'Corporate', 'Responsibility', 'Report']"
The company targets sales of Ls 271 mn  Ls 23498 mn  and a profit of Ls 300000  Ls 371500  in 2007 ,neutral,"['The', 'company', 'targets', 'sales', 'of', 'Ls', '271', 'mn', 'Ls', '23498', 'mn', 'and', 'a', 'profit', 'of', 'Ls', '300000', 'Ls', '371500', 'in', '2007']"
After the takeover  Cramo will become the second largest rental services provider in the Latvian market ,positive,"['After', 'the', 'takeover', 'Cramo', 'will', 'become', 'the', 'second', 'largest', 'rental', 'services', 'provider', 'in', 'the', 'Latvian', 'market']"
Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions ,neutral,"['Ruukki', 'is', 'restructuring', 'commercial', 'and', 'industrial', 'construction', 'operations', 'in', 'pursuit', 'of', 'permanent', 'improvements', 'whilst', 'adjusting', 'operations', 'to', 'market', 'conditions']"
It projected revenue of  22 billion to  23 billion  slightly higher than analyst estimates of  219 billion ,positive,"['It', 'projected', 'revenue', 'of', '22', 'billion', 'to', '23', 'billion', 'slightly', 'higher', 'than', 'analyst', 'estimates', 'of', '219', 'billion']"
The brokerage said 2006 has seen a  true turning point  in European steel base prices  with better pricing seen carrying through the second quarter of 2006 ,positive,"['The', 'brokerage', 'said', '2006', 'has', 'seen', 'a', 'true', 'turning', 'point', 'in', 'European', 'steel', 'base', 'prices', 'with', 'better', 'pricing', 'seen', 'carrying', 'through', 'the', 'second', 'quarter', 'of', '2006']"
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier ,negative,"['Operating', 'profit', 'in', 'the', 'fourth', 'quarter', 'fell', 'to', 'EUR33m', 'from', 'EUR39m', 'a', 'year', 'earlier']"
JD down 20 in afterhour market anyone care to explain why,negative,"['JD', 'down', '20', 'in', 'afterhour', 'market', 'anyone', 'care', 'to', 'explain', 'why']"
Operating profit totalled EUR 830 mn  up from EUR 235 mn yearonyear ,positive,"['Operating', 'profit', 'totalled', 'EUR', '830', 'mn', 'up', 'from', 'EUR', '235', 'mn', 'yearonyear']"
BRIEFAviva aims to increase dividend payout ratio to 50 pct in 2017,positive,"['BRIEFAviva', 'aims', 'to', 'increase', 'dividend', 'payout', 'ratio', 'to', '50', 'pct', 'in', '2017']"
EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher httpstco76DSJysyR0,positive,"['EXPE', 'working', 'on', 'the', 'second', 'leg', 'of', 'its', 'reversal', 'run', 'as', 'it', 'breaks', 'another', 'down', 'trend', 'and', 'continues', 'higher', 'httpstco76DSJysyR0']"
GeoSentric is acquiring extra financing by issuing a maximum of 220000 new shares and a convertible bond with subscription rights for 880000 shares  which have been fully subscribed ,neutral,"['GeoSentric', 'is', 'acquiring', 'extra', 'financing', 'by', 'issuing', 'a', 'maximum', 'of', '220000', 'new', 'shares', 'and', 'a', 'convertible', 'bond', 'with', 'subscription', 'rights', 'for', '880000', 'shares', 'which', 'have', 'been', 'fully', 'subscribed']"
