Sentence,Sentiment
Teleste s hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions  including HFC  hybrid fibrecoaxial   xDSL  EttH  and FttH ,neutral
In 2006 the company s net sales amounted to approximately EUR259m and it has some 8000 employees ,neutral
New Novator products are supposed to be exported ,neutral
Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers ,neutral
Finnish component supplier Componenta Corporation  OMX Helsinki  CTH1V  reported on Tuesday  15 July  an operating profit of EUR46 2 m on net sales of EUR386 0 m for the financial period JanuaryJune 2008 ,neutral
SAVE breaking its downtrend line on increasing volume A move above 2057 could see more upside httpstkscol8y4,positive
The official opening of the office  located in Prague  will be celebrated on May 20 ,neutral
Apple Another attempt to break out on Apple but with weak PVT   AAPL Trading investing aapl httpstcoDNh7Hgv22V,positive
It also turned to earnings per share  EPS  of EUR 008 versus loss per share of EUR 004 ,positive
Completion of the transaction is subject to a final agreement and a Due Diligence process ,neutral
Morrisons finance chief to fill gap as CEO leaves early,negative
Earnings per share  EPS  amounted to EUR0 98  up from the loss of EUR0 02 ,positive
Tiimari operates 194 stores in six countries  including its core Finnish market  and generated a turnover of 765 mln eur in 2005 ,neutral
Changes being announced today will be effective after the close of trading on Friday  June 19  2009 ,neutral
According to Chairman Michael Hornborg  the organizations has merely criticised Raisio s weak performance ,neutral
BAE Systemss sales boosted by European Typhoon and currencies,positive
Honkarakenne also decided yesterday to sell 88500 of its B series shares to key staff members for EUR2 9 per share ,neutral
To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world ,neutral
In the Baltics  the merger of the businesses of the two is expected to be completed in early 2008 ,neutral
Tieto was looking for an energy solution which would best support the idea of sustainable development  and we were happy to be able to provide such a solution  saysJouni Haikarainen  Vice President  Fortum ,positive
Expense ratio was 1026  compared to 929  in the corresponding period in 2005 ,neutral
STOCKMANN plc COMPANY ANNOUNCEMENT February 20  2007  at 1340 An annual summary of Stockmann s stock exchange and financial press releases in 2006 is available on the company s website at the address wwwstockmanncom ,neutral
HopeTurock yes the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected YHOO,positive
AAPL Dips being bought up real quick Higher lows fo sho,positive
Operating profit for continuing operations fell to EUR 483 mn from EUR 724 mn in the first half of 2007 ,neutral
BasWare s CEO Ilkka Sihvo comments in conjunction with the Interim Report   As a whole  BasWare succeeded well in the second quarter of 2007 ,positive
s NASDAQ OMX  GEO1V  GyPSii business unit  developers of the awardwinning GyPSii mobile social networking application  today announced its availability as a free download via the Samsung Mobile Applications Store ,neutral
 I m trying to deal with slavery from a different perspective to balance the story   says DeRamus  formerly a writer at the Detroit Free Press and the Detroit News ,neutral
Compared with the FTSE 100 index  which rose 949 points  or 16   on the day  this was a relative price change of 04  ,negative
Why Alphabet Inc was just upgraded to buy httpstcodEVnLKhqtZ GOOGL,positive
All of Raisio s divisions recorded an operating profit ,positive
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcommpatented technology ,neutral
The share capital of Alma Media Corporation business ID 19447574is EUR 4503151380 and it is divided into 75052523 shares ,neutral
The forecast for 2012 is 33  ,neutral
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed ,neutral
Operating profit was EUR 16 mn in 2005 compared to EUR 59 mn in 2004 ,negative
The reason for this is St Petersburg status as a capital  one of the participants in the meeting quoted Chikunov as saying ,neutral
Upon completion of the sale Proha would get some USD12 7 m for its stake in Artemis ,neutral
Buffetts Berkshire builds Deere stake dumps Exxon,positive
Last year s net sales rose to EUR 683 million from EUR 622 million ,positive
Earnings per share for the quarter were also higher yearonyear at 033 eur versus 027  and above market expectations of 028 eur ,positive
Finnish Talvivaara Mining Co HEL  TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE  JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m ,neutral
MXWL Oh snap Just went long again LT,positive
Operating profit decreased to EUR 112 mn from EUR 166 mn ,negative
Panostaja  headquartered in Tampere  Finland  is an investment company focusing on small and mediumsized Finnish companies operating in the traditional industries ,neutral
The corresponding increase in the share capital  in total EUR 30000 was registered in the Finnish Trade Register on May 8  2008 ,neutral
CapMan Plc Press Release 31 March 2008 Jukka Ruuska  President of the OMX Nordic Exchanges and the Stockholm Stock Exchange  will transfer to CapMan effective no later than September 2008 ,neutral
The dismissed staff members will now take the matter to court unless it can be settled outside ,neutral
According to Finnish petrol station chain St1 s managing director Kim Wiio  the company was forced to make purchases with rising prices in the first half of 2008  and now consumer prices are going down almost daily due to competition ,neutral
 We know there are some of our own people out there  ,neutral
The metal has gained 41 percent this year as demand from China  the world s largest user  increased ,positive
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada ,positive
Revenue was slightly down  at  x20ac 495 million  634 million  compared to  x20ac 497 million a year earlier ,negative
Followed the levels I shared with you on NFLX GOOGL TSLA calls for nice gains Still holding FB 110 calls Week made in a morning,positive
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network ,positive
With the new arrangement  customer responsibilities will become mainly regional ,neutral
The sale will result in a capital loss of EUR5m for Solidium  which obtained Tikkurila shares in March 2010 ,neutral
The study evaluated the safety  tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis ,neutral
Following the registration  the number of issued and outstanding shares of Basware is 12890829 ,neutral
In the second quarter of 2010  the group s pretax loss narrowed to EUR 400000 from EUR 600000 ,positive
The Finlandbased company says it will move into an existing 260000squarefoot facility in September ,neutral
The company is now withdrawing the second part  EUR 72 mn  of the investment commitment ,neutral
Finnish printed circuit boards  PCBs  maker Aspocomp Group Oyj said on December 4  2006 it named Henry Gilchrist senior vice president of the group s Asian operations  as of January 8  2007 ,neutral
Here come the shorts marchin in  GMCR  Lovin it,negative
Grapevine city officials in September approved  35 million in tax rebates and grants for the expansion ,positive
Sponda plans to renovate old real estate and develop new property ,neutral
From Merisatama to the far corners of the world Asfaltti Osakeyhti Lemminkinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor ,neutral
AUSTIN  Texas  Sept 6  Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment ,positive
The transaction value is CAD 15 million approximately EUR 10 million ,neutral
With the extension of the new contract for a further eight engines  the plant will now produce over 100 MW  it said ,positive
Stora Enso will receive a 199 pct equity interest in the combined company ,neutral
Beef imports fell slightly from 2006  to 14mn kilos ,neutral
We serve a broad range of customers  including construction and process industries  shipyards  the public sector and households ,neutral
KNDI Lets see some higher highs and higher lows rest of the day  slow and steady,positive
Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 664 mln euro  912 mln for the first half of 2007  compared to a net profit of 71 mln euro  98 mln for the same period of 2006 ,neutral
Then  it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 ,positive
No financial details were reported ,neutral
Balfour Beatty plc Set To Reinstate Dividend And Rival National Grid plc And Centrica PLC Once More,positive
Viking Line s cargo revenue increased by 54  to EUR 2146 mn  and cargo volume increased by 24  to 70116 cargo units ,positive
Finnish power company Fortum reports 89  of its electricity was generated without carbon dioxide emissions in 2007 ,neutral
Cargotec Corporation  Press Release  August 26  2008 at 10 am Finnish time Cargotec s MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order ,positive
 The change will optimize the operational efficiencies of our growing business   said Julia Prohaska  director of marketing communications for Fiskars ,positive
Helsinki 19 May 2010  Finnish company Lemminkainen Oyj  HEL  LEM1S  said today that it will construct an office building at Toolonlahti in downtown Helsinki  without disclosing financial details ,neutral
 The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe ,positive
The Whitehall Street Real Estate Funds invest in real estate and real estate related assets  principally through the acquisition of real estate companies  real property and mortgage loans ,neutral
HELSINKI  Thomson Financial   Mreal said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski  Finland  for around 13 mln eur from Kyro Oyj ,positive
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India ,positive
Glencore fight back over debt fears lifts shares,positive
FB slight green May be runner later,positive
Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki ,neutral
Alma Media s operating profit amounted to EUR 119 mn  down from EUR 150 mn a year earlier ,neutral
With this  the company will exit the contract manufacturing service segment ,neutral
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland ,neutral
The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 ,neutral
Paychex has more than 100 offices serving approximately 554000 payroll clients nationwide as of May 31  2009 ,neutral
Net sales have been eaten by the weak US dollar ,negative
 ADPnews   Dec 30  2009  Finnish investment group Neomarkka Oyj  HEL  NEMBV  said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days  starting in January 2010 ,neutral
Finnish forest machinery manufacturer Ponsse has issued a profit warning ,negative
Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary ,neutral
OlliPekka Laine has been appointed as the Chairman and Erkki PehuLehtonen as the Vice Chairman of the Board ,neutral
Affecto has participated in the program for the development of the Norwegian pension system since 2007 ,neutral
It estimates the operating profit to further improve from the third quarter ,positive
Proha Plc  Euronext 7327  announced today  19 May  that its fullyowned subsidiary  Safran Software Solutions AS  has agreed to sell its 49  share of Safran North America LLC to a SNA Holding AS  an investment group based in Norway ,neutral
Tesco sales recover as focus returns to core business,positive
However  the company saw its net profit for the third quarter down to EUR 14 million from EUR 15 million for the corresponding period of 2009 ,neutral
The production is to be liquidated before June 2009 and 325 employees loose their jobs ,neutral
Danske Bank is Denmark s largest bank with 35 million customers ,neutral
Protalix closed at  1071 on Friday on the American Stock Exchange  giving a market cap of  827 million ,neutral
Net sales decreased to EUR 916 mn from EUR 109mn in the corresponding period in 2005 ,negative
The most interesting export markets will be Russia  the Baltic countries and Scandinavia ,neutral
The actions are expected to deliver annual cost savings of some EUR1520m ,positive
Nordea Bank AB publ holds 6000 Alma Media shares  representing 0008  of share capital and voting rights ,neutral
Eli Lilly  Co LLY Has Broken Out To A New High On AstraZeneca Collaboration,positive
The chilled meat products category led the meat  fish and poultry market in Finland  accounting for a share of 314  ,neutral
 The Group  s cumulative sales during the review period were EUR 482 million EUR 531 million  192007 and profit before taxes was EUR 12 14 million ,neutral
Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences  Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,neutral
Net sales of the Lehdentekijat unit was approximately EUR 14 million in 2007 and it had 70 employees ,neutral
LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place httpstkscoaDpO,positive
The business area has operations in Finland  Sweden  Denmark  Estonia  Latvia and Lithuania ,neutral
Sports equipment sales also progressed well owing to the prolonged winter season ,positive
Also  Westpac is to issue a benchmark  18 month FRN deal in Euros ,neutral
It is the last smartphone running Maemo 5  which is to be replaced with MeeGo  a joint project between Nokia  Intel and the open source community ,neutral
pretty steady accumulation off support today  Purdy AGU,positive
 Serving customers locally is one of the cornerstones of customer focus for us ,neutral
 We cut our frequency to New York last year  which explains the fall   he said ,negative
HSC Receives 7Year 50M Contract at New Saudi Arabian Steel Mill,positive
Operating result including nonrecurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 ,positive
Both operating profit and net sales for the threemonth period increased  respectively from EUR15 1 m and EUR131 5 m  as compared to the corresponding period in 2005 ,positive
Around 250 of these reductions will be implemented through pension arrangements ,neutral
Sainsburys says to outperform rivals in tough market,positive
Finnish Outokumpu Technology has been awarded several new grinding technology contracts ,positive
Starbucks Digital Strategy To Drive Significant Growth With Customer Loyalty SBUX httpstcoXk6lZ3UI3K,positive
Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million ,neutral
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi s current reserves considerably ,positive
He answers questions on how many visitors Conversations gets  how big the team is and what the problems are when setting up social media channels ,neutral
Hargreaves Lansdown share price falls as costs mount  although pensions ,negative
PRESS Serco Set To Appoint Roy Gardner ExCentrica As Chairman  FT,positive
InterContinental Hotels Denies Reports of Starwood Merger Talks,neutral
Commencing the construction works of Pearl Plaza is a significant step in our Russian projects ,positive
With this acquisition the wireless modem unit and its approximately 1100 employees were transferred to Renesas Electronics Corporation ,neutral
 The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires  ,positive
According to ACNielsen s ScanTrack study for the period week 10 of 2005 to week 9 of 2006  CocaCola is the market leader in soft drinks in Finland ,positive
YMI httpstkscoXyf Long setup Closed above the 20MA MACD cross November catalyst,positive
UPDATE 3BP settles oil spillrelated claims with Halliburton Transocean,negative
The contracts awarded to date  in connection with the system  amount to a total EUR 36 million ,neutral
Because expenditures must be justified to pass budget approval hurdles  we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities ,neutral
The CocaCola Company and CocaCola FEMSA to Acquire AdeS SoyBased Beverage Business From Unilever,positive
We are honored to be acknowledged for our commitment to the industry  especially in Asia Pacific  ,positive
An  of the invention  released by the Patent Office  said   The chambers are pressurized ,neutral
In the Baltic countries  sales fell by 426  ,neutral
However  sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia  Atria said ,positive
The mill s raw material need will increase by 100000 m3 of wood ,neutral
Outotec  headquartered in Espoo  Finland  is a leading provider of process solutions  technologies and services for the mining and metallurgical industries ,neutral
The one dark spot on the horizon  however  was the company s performance in the Finnish bottled water market ,neutral
Current holdings via options  Long AAPL V GS AET  Short VXX,positive
The process  technology  project management  basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa  southern Finland ,neutral
PCLN runs into the 50sma on the acquisition news,positive
Vaahto Pulp  Paper  of Finnish Vaahto Group  has been awarded an order to renovate FinnishSwedish forest industry company Stora Enso s paperboard machine at the Ingerois Board Mill in Finland ,positive
Nokia was up 012 pct to 1670 eur after kicking off the morning in negative territory ,positive
TZA is a rocket ship,positive
Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract  valued at some EUR2m  to implement the next phase of its insurance application for South African Mutual  Federal Insurance Company Limited MF ,positive
Industry Investment is very interested in Glaston s solar energy projects ,positive
The winner does not have to be present to win ,neutral
Scanfil will execute the temporary layoffs by midOctober 2009 and the job cuts by March 2010 ,negative
Furthermore  our fully electrically driven cranes are environmentally friendly ,positive
FinnishSwedish TietoEnator is expanding its business quickly in Russia ,positive
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US 2253 mn EUR 1535 mn in 2007 ,neutral
Added more BBBY jimcramer is wrong about this one Still a very profitable merchant with profitable stores,positive
Rinkuskiai s beer sales fell by 65 per cent to 416 million litres  while Kauno Alus  beer sales jumped by 69 per cent to 248 million litres ,neutral
INTERNET BUSINESS NEWS   19952006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service  Barclays Bank has announced that it is to recommend FSecure Internet Security to its customers ,neutral
Halonen s office acknowledged receiving the letter but declined comment ,neutral
Boomeranger Boats Oy specialises in boat building and designs  manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market ,neutral
The fair value of the company s investment properties grew to EUR 2803 billion at the end of March 2009 from EUR 2691 million a year ago ,positive
 We reached agreement with the union that flights will continue as normal   Finnair spokesman Usko Maatta said ,positive
OSUR up 33 since 625 buy signal resistance 533  expect 1 pullback 2nd half of day or 2 break abov 533  continue rally for 45 days,positive
The company had net sales of EUR 108 million in 2008  and today has approximately 120 employees in Finland  Estonia and Poland ,neutral
The broker highlights Cargotec as its preferred stock in the sector  as it is a pure play on global cargo and container handling  and it expects it to play an active role in further consolidating the industry ,positive
The combined capital of these funds is expected to be EUR 100mn150mn ,neutral
The total headcount reduction will be 50 persons  the company said ,negative
The aim is to develop opensource application solutions ,neutral
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative ,negative
The contract consists of a new building with an area of 18000 sq m and renovation of the existing buildings ,neutral
Retailers Kingfisher and Sports Direct rise in Britains share index,positive
Persimmon share price climbs on 23 rise in fullyear revenue,positive
To check them out or to make a bid they will be in the Deka Showroom  Fortitude Valley ,neutral
The new facility  to be known as Technopolis Pulkovo  will introduce to the Russian market an entirely new concept of creating  operating and growing a commerciallyfunded science and technology park to support the growth of knowledgeintensive companies ,neutral
Tescos Sales Pickup Isnt Enough,negative
TRIP maintains Neutral rating at JP Morgan PT cut 61 from 66,neutral
The poorest index figure was given to Finnish power company Fortum  45 ,negative
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits TMLsfor their ore grades ,neutral
 This order is included in Wartsila s order book in the second quarter   the company added ,neutral
The company also said that the deployment of the Danish 4G network continues and it expects to cover 75  of the Danish population in 2011 ,neutral
The disposal of Autotank will also strengthen Aspo s capital structure   commented Gustav Nyberg  CEO of Aspo ,positive
Micron Technology Inc NASDAQ MU down 23 today and down 89 since being put on The Short httpstcoEQQLTfUiOU,negative
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki  BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 ,neutral
 I m pleased to receive the Nomination Committee s request and confidence   says Jon Risfelt ,positive
AAPL Stock Climbs as Barrons Sees 40 Upside Jim Cramers Take  httpstcolKlD9mVKBQ,positive
The company also said on November 16  2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa  southern Finland ,positive
In the third quarter  net sales increased by 12  yearonyear to EUR 1595 million  or by 6  at comparable currency rates growth ,positive
ITV to pursue takeover of Canadas Entertainment One Bloomberg,positive
Cramo is a service company specialising in construction machinery and equipment rental and rentalrelated services  as well as the rental and sale of modular space ,neutral
Depending on the market situation  such projects are sold after 1 to 3 years after completion ,neutral
AstraZeneca weighing up Acerta bid to secure blood cancer drug,positive
HRL ready to pop httpstkscos0Ny4,positive
News FeedFTSE 100 movers LSE surges as ICE says mulling offer Ashtead and Barclays tank,positive
Elcoteq SE is Europe s largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai ,neutral
Sales VAT inclusive expanded by 19 percent  to 351 million euros ,positive
Operating profit increased by 1451  to EUR 83 mn from EUR 34 mn ,positive
ALEXANDRIA  Va  Dec 19  United States Patent no 7853620  issued on Dec 14  was assigned to Nokia Corp  Espoo  Finland  ,neutral
Country   Germany Sector  ConstructionReal Estate  MachineryEngineering Target  Caverion GmbH Buyer  YIT Oyj Deal size in USD  903 m Type  Corporate acquisition Status  Agreed,neutral
AMRN Its accumulating I think buy now or hold your peace This should go up todaytomorrow,positive
Operating profit rose to EUR 311 mn from EUR 122 mn in the corresponding period in 2009 ,positive
Last year SysOpen Digia invested in IBM product knowhow in the building of portal and trading place systems and successfully implemented customer solutions supported by it ,positive
 ADP News   Feb 4  2009  Finnish broadband data communication systems and solutions company Teleste Oyj  HEL  TLT1V  said today its net profit decreased to EUR 55 million  USD 72 m  for 2008 from EUR 94 million for 200,neutral
An earnout payment of up to 40 mln euro   53 mln  can also be paid depending on Intellibis financial performance in 2007 ,neutral
The currency effect had a 30 pct  or 20 mln euro   313 mln   negative impact on the revenue ,negative
Only Lnnen Tehtaat showed a loss  but it has only recently started streamlining measures ,neutral
1830 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at wwwcityconcom ,neutral
Operating profit margin increased from 112  to 117  ,positive
Operating profit totalled EUR 122 mn  down from EUR 356 mn in the first quarter of 2008 ,negative
Founded in 1985  Quatrocon s clientele consists of public sector builders  central trading companies and major construction firms ,neutral
RUSS Dont catch falling knives but I think an entry is coming soon on this,positive
The company s profit before taxes fell to EUR 211 mn in the third quarter of 2008  compared to EUR 358 mn in the corresponding period in 2007 ,neutral
Russian officials inspected the damage and gave the vessel permission to continue to Tallinn at around 430 am The Norwegianregistered MT Sten Nordic was carrying 11000 tons of gas oil and was manned by a Filipino crew ,neutral
The maritime administration said the ships had ignored warnings about the icy conditions ,neutral
WFM Bought a little yesterday hoping for an earnings pop,positive
The German company has also signed a code share agreement with another Oneworld member  American Airlines Inc  part of USbased AMR Corp  NYSE  AMR  ,positive
Odell has not contacted the State of Finland in this issue ,neutral
Borealis Infrastructure putting together new Severn Trent bid,positive
This order  when delivered  will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1300 MW ,neutral
Cooper SH  the UK distributor for lift equipment manufacturer Konecranes  won the fiveyear deal which involves low maintenance and fuel saving technologies ,positive
Under a preliminary estimation  the technology park will measure about 50000 square meters ,neutral
The company plans to spend the proceeds from the rights offering for strengthening its balance sheet ,neutral
Earnings per share  EPS  in the first half of 2007 amounted to EUR0 29  down from EUR0 40 year ago ,neutral
RXII Tang really is toxic they keep bringing the share price down At least they could let it climb a little before dragging it down,negative
The selling consortium includes funds managed by OKO Bank s venture capital unit  Bio Fund Management and Finnish Industry Investment  a governmentowned investment group ,neutral
Amer Sports divests an industrial site in Rumilly  France   This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients ,neutral
MetsaBotnia will finance the payment of dividends  the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations  and shares in Pohjolan Voima  and by utilising its existing financing facilities ,neutral
RT FITZSTOCK2004 IYT httpstksco1NBF the Transports always lead  the way and  they broke DT  line  1st MACD cross  bull  flag,positive
EBIT excluding nonrecurring items  totalled EUR 678 mn  up from EUR 381 mn ,positive
The diesel margin has remained high ,positive
Operating loss totaled EUR 03 mn compared to a profit of EUR 22 mn in the corresponding period in 2007 ,negative
FTSE rallies off threemonth low boosted by StanChart Sainsbury,positive
The growth in the activeness of Talentum s customers  which started at the end of 2009  continued during the reporting period  the company stated ,positive
The maximum number of new shares to be offered is 22 million ,neutral
Marimekko makes all sorts of colorful little impulse buys  umbrellas  baby bibs  change purses  and they re all for sale  the better to take advantage of shoppers who ca nt commit to furniture but want a piece of the action ,neutral
Finnish management software solutions provider Ixonos Oyj net profit decreased to 369000 euro   575000  for the first quarter of 2008 from 669000 euro   10 mln  for the same period of 2007 ,neutral
The sale  which will result in a gain of some EUR 60 million in the second quarter of 2010 for OriolaKD  supports the Finnish company s strategy to focus on pharmaceutical wholesale and retail operations ,positive
The guidance has been set at 90 basis points over midswaps  the report said ,neutral
Finnish drug distributor and wholesaler OriolaKD Oyj said on October 11  2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15  2007 ,neutral
Its a bad idea to make 5 min predictions based on faith RT dandyduct AAPL Sell signal hit at 584 it will go down for the next 5 min,negative
The contracts comprise turnkey orders for RoRo systems for two RoRocruise vessels under construction for Viking Line and Tallink ,neutral
ENDP exit reversal 11 X 3K shares  330  now Long  not getting follow through either side of price action,positive
ITV share price jumps on report of Comcasts NBCUniversal bidding to takeover ,positive
ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4  2006 at 1000 am An increase in the share capital of Aspo Plc totaling EUR 112560 was registered today ,positive
The fouryear contract between the bank and Ski Sport Finland will bring the bank s advertisements to skiers helmets and caps ,neutral
According to Finnish Scanfil s founder and chairman of the board  Jorma J Takanen  the company has to look for growth abroad ,neutral
When new types of network elements are added to the network  the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system ,neutral
In the video above Marimekko s design manager  Noora Niiininoski  explains that the brands are a natural fit for each other because they both have a timeless style ,neutral
We have made longterm investments in developing the system s implementation model ,neutral
Comptel  a vendor of dynamic Operations Support System  OSS  software  has been selected by Orascom Telecom  OTH  as partner for provisioning and activation solutions for mobile services ,positive
AAPL I am big OUT from this seems its falling towards 530 ,negative
The NTSB said investigators are set to conduct sight distance tests on July 18  using trains similar to those involved in the accident ,neutral
Finnish sports equipment maker Amer Sports Oyj  HEL  AMEAS  said today that its net loss narrowed to EUR 169 million  USD 223 m  in the second quarter of 2010 from EUR 232 million in the corresponding period a year earlier ,positive
Return on investment was 50   compared to a negative 41  in 2009 ,positive
Outotec s scope of delivery includes design  basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters ,neutral
The contract will take effect in 2009 for a five or ten year period ,neutral
Simultaneously  his responsibility area is extended from legal affairs to cover also mergers and acquisitions ,neutral
Peer Peugeot fell 081 pct as its sales rose only 63 pct from the same period last year ,neutral
Three students from Universiti Sains Malaysia have won a study trip to Helsinki ,neutral
Finnish property investment company Citycon will expand and refurbish kersberga shopping center in Stockholm  in Sweden ,neutral
5 Best Analyst Rated Stocks in Last 72hrs ORCL AAPL CBS INO CPXX View all ratings here httpstcoIRID6zd5gc,positive
UPDATE Persimmon Profit Up Strongly Outlook Positive,positive
Total two offers were received by Contracting Authority for participating in this contract  however the contract was allotted to Affecto Finland Oy ,neutral
While I cant understand what theyre saying  its impressive to watch him hit that ball at those speeds ,neutral
RPTOld Mutual Q1 gross sales beat forecasts up 18 pct,positive
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland s laws ,neutral
Motorola Inc of the United States came second with shipments of 2174 million units for a 213 percent market share  followed by South Korea s Samsung Electronics Co with shipments of 1180 million units for an 116 percent share ,neutral
The maximum amount of the capital loan will be EUR30m and the minimum subscription  EUR10 000 ,neutral
 ADPnews   Feb 3  2010  Finlandbased steel maker Rautaruukki Oyj  HEL  RTRKS   or Ruukki  said today it slipped to a largerthanexpected pretax loss of EUR 46 million  USD 645 m  in the fourth quarter of 2009 from a,neutral
sharkbiotech If anyone is sellingshorting AGN bc you believe ENDP rumors to be realistic then Ill take the other side of that trade,positive
The company is listed on the Nordic Exchange in Helsinki ,neutral
PYPL great vol flow trade here Love this company long time,positive
V A potential bearish shark pattern if point B 226 to be taken out httpstkscoi0GGH,negative
Both operating profit and turnover for the ninemonth period increased  respectively from EUR2 4 m and EUR43 8 m  as compared to the corresponding period a year ago ,positive
The order comprises four ball mills  which will be organized in two different streams for treating ore in the Pilanesberg platinum mine ,neutral
Alma Media Corporation PRESS RELEASE March 25  2010 TYRVN SANOMAT PURCHASE CONFIRMED The business operations of Tyrvn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy ,neutral
Productional situation has now improved ,positive
SSH Communications Security Corporation is headquartered in Helsinki  Finland ,neutral
For the full 2010 the company expects its net sales and operating result to improve from the previous year  saying that a positive operating result and its amount will depend on the order intake by the end of the summer ,positive
Operating margin  however  slipped to 144  from 151   dragged down by a poor performance in enterprise solutions ,neutral
Finnish metal products company Componenta Oyj net profit rose to 261 mln euro   359 mln  for the first quarter of 2007 from 53 mln euro   73 mln  for the same period of 2006 ,positive
So as of todays close 81514 Im long TSLA AMTD TWTR FB AAPL CELG  all on a longerterm technical swing long basis,positive
The acquired business main asset is a mobile authentication and signing solution  branded as Tectia MobileID  which provides authentication to web email  SSLVPN  MS SharePoint  Tectia Secure Solutions and other applications and resources ,neutral
The report examines the medical equipment business structure and operations  history and products  and provides an analysis of its key medical equipment revenue lines ,neutral
ADPnews  Aug 3  2009  Finnish media group IlkkaYhtyma Oyj HEL  ILK2S said today its net profit fell 45  on the year to EUR 59 million USD 84 m in the first half of 2009 ,neutral
The new technology improves the glass quality and consistency while increasing throughput ,positive
LONDON MarketWatch  Nokia nok said it s won a fiveyear services contract to run Hutchison Essar s network operations in nine locations in India ,positive
SOULLOR the regular scrappy Q SWY usually presents Sales weak margins down debt still way up,negative
Operating profit margin was 83   compared to 118  a year earlier ,negative
Consolidated net sales increased 16  to reach EUR74 8 m  while operating profit amounted to EUR0 9 m compared to a loss of EUR0 7 m in the prior year period ,positive
Finnish forest machinery manufacturer Ponsse has issued a profit warning ,neutral
 The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 6 billion   UPM said ,neutral
Rental of building equipment accounted for 88 percent of the operating income ,neutral
The measures result from weak demand in the shipbuilding industry ,negative
