Sentence,Sentiment,Tokens
Agricultural newspaper Maaseudun Tulevaisuus 318000 reader representing decrease 6,negative,"['Agricultural', 'newspaper', 'Maaseudun', 'Tulevaisuus', '318000', 'reader', 'representing', 'decrease', '6']"
Finnish Scanfil system supplier contract manufacturer communication sector electronics industry report net sale totalled EUR 947 mn first half 2010 EUR 995 mn first half 2009,neutral,"['Finnish', 'Scanfil', 'system', 'supplier', 'contract', 'manufacturer', 'communication', 'sector', 'electronics', 'industry', 'report', 'net', 'sale', 'totalled', 'EUR', '947', 'mn', 'first', 'half', '2010', 'EUR', '995', 'mn', 'first', 'half', '2009']"
group net sale 2007 EUR683 6,neutral,"['group', 'net', 'sale', '2007', 'EUR683', '6']"
unit client mainly field specialist convenience good well textile shoe furniture business,neutral,"['unit', 'client', 'mainly', 'field', 'specialist', 'convenience', 'good', 'well', 'textile', 'shoe', 'furniture', 'business']"
Mr McDonald started evening set featuring hit solo career Doobie Brothers year selection RB cover song met mixed result,neutral,"['Mr', 'McDonald', 'started', 'evening', 'set', 'featuring', 'hit', 'solo', 'career', 'Doobie', 'Brothers', 'year', 'selection', 'RB', 'cover', 'song', 'met', 'mixed', 'result']"
Sarantel based Wellingborough UK design highperformance antenna portable wireless device,neutral,"['Sarantel', 'based', 'Wellingborough', 'UK', 'design', 'highperformance', 'antenna', 'portable', 'wireless', 'device']"
Philippines San Miguel say partner Kirin bid SABMillers,positive,"['Philippines', 'San', 'Miguel', 'say', 'partner', 'Kirin', 'bid', 'SABMillers']"
high court Finland fined seven local asphalt company lion 117 million operating cartel,negative,"['high', 'court', 'Finland', 'fined', 'seven', 'local', 'asphalt', 'company', 'lion', '117', 'million', 'operating', 'cartel']"
Net profit fell almost half 55 million 94 million end 2007,neutral,"['Net', 'profit', 'fell', 'almost', 'half', '55', 'million', '94', 'million', 'end', '2007']"
AGN PYPL pressure along market however bullish option trade morning httpstco9xG5W8nONT,neutral,"['AGN', 'PYPL', 'pressure', 'along', 'market', 'however', 'bullish', 'option', 'trade', 'morning', 'httpstco9xG5W8nONT']"
UPM stock fell 3 percent EURO 1249 1724 early afternoon trading Helsinki,neutral,"['UPM', 'stock', 'fell', '3', 'percent', 'EURO', '1249', '1724', 'early', 'afternoon', 'trading', 'Helsinki']"
HELSINKI AFX Cramo said agreed sell Cramo Nederland BV CNL Dutch machinery equipment rental unit Jaston Groep undisclosed sum,neutral,"['HELSINKI', 'AFX', 'Cramo', 'said', 'agreed', 'sell', 'Cramo', 'Nederland', 'BV', 'CNL', 'Dutch', 'machinery', 'equipment', 'rental', 'unit', 'Jaston', 'Groep', 'undisclosed', 'sum']"
stock rose second day Wednesday bringing twoday rise GBX12 0 20,positive,"['stock', 'rose', 'second', 'day', 'Wednesday', 'bringing', 'twoday', 'rise', 'GBX12', '0', '20']"
share capital Alma Media Corporation business ID 19447574 EUR 4476751380 divided 74612523 share,neutral,"['share', 'capital', 'Alma', 'Media', 'Corporation', 'business', 'ID', '19447574', 'EUR', '4476751380', 'divided', '74612523', 'share']"
port facility throughput 250000 TEUs 75 mln ton general cargo,neutral,"['port', 'facility', 'throughput', '250000', 'TEUs', '75', 'mln', 'ton', 'general', 'cargo']"
Investments disclosed,neutral,"['Investments', 'disclosed']"
Operating profit excluding nonrecurring item increased 27 EUR 819 mn EUR 644 mn corresponding period 2008,positive,"['Operating', 'profit', 'excluding', 'nonrecurring', 'item', 'increased', '27', 'EUR', '819', 'mn', 'EUR', '644', 'mn', 'corresponding', 'period', '2008']"
end March 2009 company loan amounted EUR 10113 mn,neutral,"['end', 'March', '2009', 'company', 'loan', 'amounted', 'EUR', '10113', 'mn']"
value order EUR 30mn,neutral,"['value', 'order', 'EUR', '30mn']"
market making accordance agreement begin September 24 2009,neutral,"['market', 'making', 'accordance', 'agreement', 'begin', 'September', '24', '2009']"
FB popping HOD,positive,"['FB', 'popping', 'HOD']"
pleased proud performance last year Chief Executive Juha Rantanen said statement,positive,"['pleased', 'proud', 'performance', 'last', 'year', 'Chief', 'Executive', 'Juha', 'Rantanen', 'said', 'statement']"
order includes steel frame loadbearing roof structure partition wall element Rautaruukki said expects complete installation early May next year,neutral,"['order', 'includes', 'steel', 'frame', 'loadbearing', 'roof', 'structure', 'partition', 'wall', 'element', 'Rautaruukki', 'said', 'expects', 'complete', 'installation', 'early', 'May', 'next', 'year']"
share subscribed stock option registered Trade Register 20 January 2011 date new share establish shareholder right,neutral,"['share', 'subscribed', 'stock', 'option', 'registered', 'Trade', 'Register', '20', 'January', '2011', 'date', 'new', 'share', 'establish', 'shareholder', 'right']"
identity buyer yet known,neutral,"['identity', 'buyer', 'yet', 'known']"
Finnish Bank land consolidated net operating profit increased EUR 48 mn first quarter 2005 EUR 64 mn first quarter 2006,positive,"['Finnish', 'Bank', 'land', 'consolidated', 'net', 'operating', 'profit', 'increased', 'EUR', '48', 'mn', 'first', 'quarter', '2005', 'EUR', '64', 'mn', 'first', 'quarter', '2006']"
RT robbieLOLZ NFLX close looking good bull hold position see close Keep buying,positive,"['RT', 'robbieLOLZ', 'NFLX', 'close', 'looking', 'good', 'bull', 'hold', 'position', 'see', 'close', 'Keep', 'buying']"
contract Cramo Sverige subcontractor Brinkab AB provide scaffolding installation LKAB new pellet plant Kiruna northern Sweden,positive,"['contract', 'Cramo', 'Sverige', 'subcontractor', 'Brinkab', 'AB', 'provide', 'scaffolding', 'installation', 'LKAB', 'new', 'pellet', 'plant', 'Kiruna', 'northern', 'Sweden']"
copying republication redistribution AFX News Content inculding framing similar mean expressly prohibited without prior written consent AFX News,neutral,"['copying', 'republication', 'redistribution', 'AFX', 'News', 'Content', 'inculding', 'framing', 'similar', 'mean', 'expressly', 'prohibited', 'without', 'prior', 'written', 'consent', 'AFX', 'News']"
make wide range mobile device service software enable people experience music navigation video television imaging game business mobility,neutral,"['make', 'wide', 'range', 'mobile', 'device', 'service', 'software', 'enable', 'people', 'experience', 'music', 'navigation', 'video', 'television', 'imaging', 'game', 'business', 'mobility']"
easyJet expects resilient demand withstand security fear,positive,"['easyJet', 'expects', 'resilient', 'demand', 'withstand', 'security', 'fear']"
RT jan ARNA Dont think buyout rumor strong enough driving yetwhen may fly like aapl fly high,neutral,"['RT', 'jan', 'ARNA', 'Dont', 'think', 'buyout', 'rumor', 'strong', 'enough', 'driving', 'yetwhen', 'may', 'fly', 'like', 'aapl', 'fly', 'high']"
SLV 444 18 AWFUL 4250,negative,"['SLV', '444', '18', 'AWFUL', '4250']"
secondary antenna also used reception high power signal radar calibrate transmission channel radar,neutral,"['secondary', 'antenna', 'also', 'used', 'reception', 'high', 'power', 'signal', 'radar', 'calibrate', 'transmission', 'channel', 'radar']"
broker started UPMKymmene Stora Enso Sappi equalweight recommendation Holmen Norske Skog underweight rating,neutral,"['broker', 'started', 'UPMKymmene', 'Stora', 'Enso', 'Sappi', 'equalweight', 'recommendation', 'Holmen', 'Norske', 'Skog', 'underweight', 'rating']"
Operating profit margin 83 compared 118 year earlier,neutral,"['Operating', 'profit', 'margin', '83', 'compared', '118', 'year', 'earlier']"
market almost completely controlled three bank Nordea OP Bank Group Sampo,neutral,"['market', 'almost', 'completely', 'controlled', 'three', 'bank', 'Nordea', 'OP', 'Bank', 'Group', 'Sampo']"
Net profit fell almost half 55 million 94 million end 2007,negative,"['Net', 'profit', 'fell', 'almost', 'half', '55', 'million', '94', 'million', 'end', '2007']"
EQ Bank forecast Olvi net sale EUR 67mn second quarter 2009 operating profit EUR 64 mn,neutral,"['EQ', 'Bank', 'forecast', 'Olvi', 'net', 'sale', 'EUR', '67mn', 'second', 'quarter', '2009', 'operating', 'profit', 'EUR', '64', 'mn']"
Hkan Dahlstrm head mobility service TeliaSonera forecast mobile data volume TeliaSonera network Sweden rise eightfold 200000 TB 2014,positive,"['Hkan', 'Dahlstrm', 'head', 'mobility', 'service', 'TeliaSonera', 'forecast', 'mobile', 'data', 'volume', 'TeliaSonera', 'network', 'Sweden', 'rise', 'eightfold', '200000', 'TB', '2014']"
Belarus OAO Lidskoe Pivo brewery based Grodno Region reported 11 decrease output 1045 million decaliter JanuaryMarch 2010 representative administration company told,neutral,"['Belarus', 'OAO', 'Lidskoe', 'Pivo', 'brewery', 'based', 'Grodno', 'Region', 'reported', '11', 'decrease', 'output', '1045', 'million', 'decaliter', 'JanuaryMarch', '2010', 'representative', 'administration', 'company', 'told']"
bridge built south existing bridge spanning strait,neutral,"['bridge', 'built', 'south', 'existing', 'bridge', 'spanning', 'strait']"
deal significant effect acquiring company equity ratio,neutral,"['deal', 'significant', 'effect', 'acquiring', 'company', 'equity', 'ratio']"
Risk exposure Nonlife Insurance Moving 12month Expenses function Nonlife Insurance excluding expense investment management expense service rendered Nonlife Insurance investment portfolio allocation,neutral,"['Risk', 'exposure', 'Nonlife', 'Insurance', 'Moving', '12month', 'Expenses', 'function', 'Nonlife', 'Insurance', 'excluding', 'expense', 'investment', 'management', 'expense', 'service', 'rendered', 'Nonlife', 'Insurance', 'investment', 'portfolio', 'allocation']"
company also featured Ethibel Pioneer Investment Register included Innovest Global 100 list world sustainable corporation,positive,"['company', 'also', 'featured', 'Ethibel', 'Pioneer', 'Investment', 'Register', 'included', 'Innovest', 'Global', '100', 'list', 'world', 'sustainable', 'corporation']"
value multiyear agreement EUR 2mn year,neutral,"['value', 'multiyear', 'agreement', 'EUR', '2mn', 'year']"
Glencore Cuts 2015 Budget Plans Divest Lonmin,negative,"['Glencore', 'Cuts', '2015', 'Budget', 'Plans', 'Divest', 'Lonmin']"
Cash flow business operation totalled EUR 04 mn compared negative EUR 155 mn first half 2008,positive,"['Cash', 'flow', 'business', 'operation', 'totalled', 'EUR', '04', 'mn', 'compared', 'negative', 'EUR', '155', 'mn', 'first', 'half', '2008']"
Compared FTSE 100 index rose 283 point 05 day relative price change 23,positive,"['Compared', 'FTSE', '100', 'index', 'rose', '283', 'point', '05', 'day', 'relative', 'price', 'change', '23']"
moment Valio worried ban continues long may become quite problem,negative,"['moment', 'Valio', 'worried', 'ban', 'continues', 'long', 'may', 'become', 'quite', 'problem']"
Zurich Insurance Considering Offer UK Rival RSA Insurance,positive,"['Zurich', 'Insurance', 'Considering', 'Offer', 'UK', 'Rival', 'RSA', 'Insurance']"
buying Eukor Car Carriers 50 percent stake Grimaldi Group sole owner Swedish rollon rolloff port Wallhamn,neutral,"['buying', 'Eukor', 'Car', 'Carriers', '50', 'percent', 'stake', 'Grimaldi', 'Group', 'sole', 'owner', 'Swedish', 'rollon', 'rolloff', 'port', 'Wallhamn']"
Destia Oy Finnish infrastructure construction service company building maintaining designing traffic route industrial traffic environment also complete living environment,neutral,"['Destia', 'Oy', 'Finnish', 'infrastructure', 'construction', 'service', 'company', 'building', 'maintaining', 'designing', 'traffic', 'route', 'industrial', 'traffic', 'environment', 'also', 'complete', 'living', 'environment']"
ALEXANDRIA Va March 28 Pertti Salmi Hanna Vuolteenaho Oulu Finland Sami Viitasaari Ii Finland developed ornamental design handset US Patent Trademark Office announced,neutral,"['ALEXANDRIA', 'Va', 'March', '28', 'Pertti', 'Salmi', 'Hanna', 'Vuolteenaho', 'Oulu', 'Finland', 'Sami', 'Viitasaari', 'Ii', 'Finland', 'developed', 'ornamental', 'design', 'handset', 'US', 'Patent', 'Trademark', 'Office', 'announced']"
also strengthen Ruukki offshore business,positive,"['also', 'strengthen', 'Ruukki', 'offshore', 'business']"
handset maker disclose financial detail,neutral,"['handset', 'maker', 'disclose', 'financial', 'detail']"
plant expected start production first half 2007,neutral,"['plant', 'expected', 'start', 'production', 'first', 'half', '2007']"
restructuring creates efficient organization increased operational focus stable profitability lead efficient production said Bo Annvik head Specialty Stainless,positive,"['restructuring', 'creates', 'efficient', 'organization', 'increased', 'operational', 'focus', 'stable', 'profitability', 'lead', 'efficient', 'production', 'said', 'Bo', 'Annvik', 'head', 'Specialty', 'Stainless']"
electricity requirement network grow new mobile generation,neutral,"['electricity', 'requirement', 'network', 'grow', 'new', 'mobile', 'generation']"
Order intake hand expected stronger 2007,positive,"['Order', 'intake', 'hand', 'expected', 'stronger', '2007']"
Net profit three month March 31 fell x20ac 103 million US 165 million x20ac 131 million year earlier Finnish company said,negative,"['Net', 'profit', 'three', 'month', 'March', '31', 'fell', 'x20ac', '103', 'million', 'US', '165', 'million', 'x20ac', '131', 'million', 'year', 'earlier', 'Finnish', 'company', 'said']"
CHS Expo Freight major Finnish fair exhibition culture logistics company provides logistics service various event land air sea,neutral,"['CHS', 'Expo', 'Freight', 'major', 'Finnish', 'fair', 'exhibition', 'culture', 'logistics', 'company', 'provides', 'logistics', 'service', 'various', 'event', 'land', 'air', 'sea']"
change regarding Virala Oy Ab ownership share Tiimari taken place,neutral,"['change', 'regarding', 'Virala', 'Oy', 'Ab', 'ownership', 'share', 'Tiimari', 'taken', 'place']"
Proha Plc Euronext 7327 announced today 19 May fullyowned subsidiary Safran Software Solutions agreed sell 49 share Safran North America LLC SNA Holding investment group based Norway,neutral,"['Proha', 'Plc', 'Euronext', '7327', 'announced', 'today', '19', 'May', 'fullyowned', 'subsidiary', 'Safran', 'Software', 'Solutions', 'agreed', 'sell', '49', 'share', 'Safran', 'North', 'America', 'LLC', 'SNA', 'Holding', 'investment', 'group', 'based', 'Norway']"
Operating profit totalled EUR 211 mn EUR 186 mn 2007 representing 97 net sale,positive,"['Operating', 'profit', 'totalled', 'EUR', '211', 'mn', 'EUR', '186', 'mn', '2007', 'representing', '97', 'net', 'sale']"
Finnish power supply solution system provider Efore Oyj said net loss widened 32 mln euro 42 mln first quarter fiscal 20062007 ending October 31 2007 900000 euro 12 mln period fiscal 200506,negative,"['Finnish', 'power', 'supply', 'solution', 'system', 'provider', 'Efore', 'Oyj', 'said', 'net', 'loss', 'widened', '32', 'mln', 'euro', '42', 'mln', 'first', 'quarter', 'fiscal', '20062007', 'ending', 'October', '31', '2007', '900000', 'euro', '12', 'mln', 'period', 'fiscal', '200506']"
Long GPRO brealout trade,positive,"['Long', 'GPRO', 'brealout', 'trade']"
term condition Stock Option Scheme 2004 available Group website,neutral,"['term', 'condition', 'Stock', 'Option', 'Scheme', '2004', 'available', 'Group', 'website']"
Net sale grew period x20ac 402 million 585US million x20ac 401 million 2006,positive,"['Net', 'sale', 'grew', 'period', 'x20ac', '402', 'million', '585US', 'million', 'x20ac', '401', 'million', '2006']"
Operating margin however slipped 144 151 dragged poor performance enterprise solution,negative,"['Operating', 'margin', 'however', 'slipped', '144', '151', 'dragged', 'poor', 'performance', 'enterprise', 'solution']"
Trading name Velta UK former Uponor brand company Uponor longterm partner supplying Veltabranded system particularly commercial industrial building sector UK internationally,neutral,"['Trading', 'name', 'Velta', 'UK', 'former', 'Uponor', 'brand', 'company', 'Uponor', 'longterm', 'partner', 'supplying', 'Veltabranded', 'system', 'particularly', 'commercial', 'industrial', 'building', 'sector', 'UK', 'internationally']"
Dolce Gabbana asked European Union declare Marimekko Corporation Unikko floral pattern trademark invalid continuing dispute two company,neutral,"['Dolce', 'Gabbana', 'asked', 'European', 'Union', 'declare', 'Marimekko', 'Corporation', 'Unikko', 'floral', 'pattern', 'trademark', 'invalid', 'continuing', 'dispute', 'two', 'company']"
Electronic version require 2448 hour copy customized client digital control custom watermark,neutral,"['Electronic', 'version', 'require', '2448', 'hour', 'copy', 'customized', 'client', 'digital', 'control', 'custom', 'watermark']"
contract cover supply temporary heating equipment LKAB new pellet plant Kiruna northern Sweden,neutral,"['contract', 'cover', 'supply', 'temporary', 'heating', 'equipment', 'LKAB', 'new', 'pellet', 'plant', 'Kiruna', 'northern', 'Sweden']"
Latin America currently account approximately 40 sale Finnish BSSOSS VAS supplier telecom operator Tecnotree company president CEO Eero Mertano told BNamericas,neutral,"['Latin', 'America', 'currently', 'account', 'approximately', '40', 'sale', 'Finnish', 'BSSOSS', 'VAS', 'supplier', 'telecom', 'operator', 'Tecnotree', 'company', 'president', 'CEO', 'Eero', 'Mertano', 'told', 'BNamericas']"
Operating profit EUR 1397 mn 23 EUR 1138 mn,positive,"['Operating', 'profit', 'EUR', '1397', 'mn', '23', 'EUR', '1138', 'mn']"
Cash flow operation totalled EUR 74 mn compared negative EUR 686 mn second quarter 2008,positive,"['Cash', 'flow', 'operation', 'totalled', 'EUR', '74', 'mn', 'compared', 'negative', 'EUR', '686', 'mn', 'second', 'quarter', '2008']"
present position director Stockmann international department store,neutral,"['present', 'position', 'director', 'Stockmann', 'international', 'department', 'store']"
Juniper tumble Q1 warning Cisco also lower httpstcoN8X8BpLJ1E JNPR CSCO,negative,"['Juniper', 'tumble', 'Q1', 'warning', 'Cisco', 'also', 'lower', 'httpstcoN8X8BpLJ1E', 'JNPR', 'CSCO']"
Finnish Rautaruukki selling precision tube automotive component processing unit Carl Froh Germany German Arques Industries,neutral,"['Finnish', 'Rautaruukki', 'selling', 'precision', 'tube', 'automotive', 'component', 'processing', 'unit', 'Carl', 'Froh', 'Germany', 'German', 'Arques', 'Industries']"
Forest certification voluntary system aimed promoting sustainable forest management commercial forest,neutral,"['Forest', 'certification', 'voluntary', 'system', 'aimed', 'promoting', 'sustainable', 'forest', 'management', 'commercial', 'forest']"
product low salt fat content,neutral,"['product', 'low', 'salt', 'fat', 'content']"
UPDATE 5SABMiller reject AB InBevs 104 bln takeover approach,positive,"['UPDATE', '5SABMiller', 'reject', 'AB', 'InBevs', '104', 'bln', 'takeover', 'approach']"
POYRY PLCCompany Announcement 10 December 2010 410 pm Pursuant Poyry PLC stock option program 2004 63 792 new share company subscribed since 27 October 2010 stock option 2004B,neutral,"['POYRY', 'PLCCompany', 'Announcement', '10', 'December', '2010', '410', 'pm', 'Pursuant', 'Poyry', 'PLC', 'stock', 'option', 'program', '2004', '63', '792', 'new', 'share', 'company', 'subscribed', 'since', '27', 'October', '2010', 'stock', 'option', '2004B']"
new unit become one largest one within company,neutral,"['new', 'unit', 'become', 'one', 'largest', 'one', 'within', 'company']"
case effect would negative Finland,neutral,"['case', 'effect', 'would', 'negative', 'Finland']"
Prices delivery volume broadband product decreased significantly 2005,neutral,"['Prices', 'delivery', 'volume', 'broadband', 'product', 'decreased', 'significantly', '2005']"
KNDI China ElectricCar maker China car sale 78 Also may feed TSLA momentum run lately,positive,"['KNDI', 'China', 'ElectricCar', 'maker', 'China', 'car', 'sale', '78', 'Also', 'may', 'feed', 'TSLA', 'momentum', 'run', 'lately']"
According Bosse present cooperation beneficial party however,positive,"['According', 'Bosse', 'present', 'cooperation', 'beneficial', 'party', 'however']"
Cash flow operation rose EUR 527 mn EUR 156 mn 2007,positive,"['Cash', 'flow', 'operation', 'rose', 'EUR', '527', 'mn', 'EUR', '156', 'mn', '2007']"
Fiskars Brands report net sale EUR 1458 mn EUR 1384 mn,positive,"['Fiskars', 'Brands', 'report', 'net', 'sale', 'EUR', '1458', 'mn', 'EUR', '1384', 'mn']"
Annual Report contains financial statement consolidated financial statement report Board Directors auditor report,neutral,"['Annual', 'Report', 'contains', 'financial', 'statement', 'consolidated', 'financial', 'statement', 'report', 'Board', 'Directors', 'auditor', 'report']"
Cargotec also move HallbergIvarsson service installation business roof service center Kalmar MacGregor solution Gothenburg,neutral,"['Cargotec', 'also', 'move', 'HallbergIvarsson', 'service', 'installation', 'business', 'roof', 'service', 'center', 'Kalmar', 'MacGregor', 'solution', 'Gothenburg']"
company board director would propose dividend EUR0 15 per share 2005,neutral,"['company', 'board', 'director', 'would', 'propose', 'dividend', 'EUR0', '15', 'per', 'share', '2005']"
hand Finnish sawmill production decreased even,neutral,"['hand', 'Finnish', 'sawmill', 'production', 'decreased', 'even']"
new deal strengthened partnership Telemig Celular Tecnomen started since beginning Telemig prepaid operation,positive,"['new', 'deal', 'strengthened', 'partnership', 'Telemig', 'Celular', 'Tecnomen', 'started', 'since', 'beginning', 'Telemig', 'prepaid', 'operation']"
Tesco lead leap FTSE 100 Marks Spencer drop,positive,"['Tesco', 'lead', 'leap', 'FTSE', '100', 'Marks', 'Spencer', 'drop']"
SSH Communications Security Corporation headquartered Helsinki Finland,neutral,"['SSH', 'Communications', 'Security', 'Corporation', 'headquartered', 'Helsinki', 'Finland']"
RISING cost forced packaging producer Huhtamaki axe 90 job Hampshire manufacturing plant,neutral,"['RISING', 'cost', 'forced', 'packaging', 'producer', 'Huhtamaki', 'axe', '90', 'job', 'Hampshire', 'manufacturing', 'plant']"
company design manufacture market advanced composite product industrial application consumer good crosscountry alpine Nordic Walking pole floorball stick antenna radome,neutral,"['company', 'design', 'manufacture', 'market', 'advanced', 'composite', 'product', 'industrial', 'application', 'consumer', 'good', 'crosscountry', 'alpine', 'Nordic', 'Walking', 'pole', 'floorball', 'stick', 'antenna', 'radome']"
Unilever Turun Sinappi made Sweden hold 40 market,neutral,"['Unilever', 'Turun', 'Sinappi', 'made', 'Sweden', 'hold', '40', 'market']"
Thus group balance sheet EUR25 8 goodwill 2010 company added,neutral,"['Thus', 'group', 'balance', 'sheet', 'EUR25', '8', 'goodwill', '2010', 'company', 'added']"
Vanhanen said strike would extremely damaging 1300 participant reporter begin arrive Finland oneday EU summit Russian President Vladimir Putin Lahti 100 kilometer 60 mile north Helsinki,neutral,"['Vanhanen', 'said', 'strike', 'would', 'extremely', 'damaging', '1300', 'participant', 'reporter', 'begin', 'arrive', 'Finland', 'oneday', 'EU', 'summit', 'Russian', 'President', 'Vladimir', 'Putin', 'Lahti', '100', 'kilometer', '60', 'mile', 'north', 'Helsinki']"
Border Guard Service banned mooring company carshipping ferry test travel railroadcar terminal Russian port border checkpoint yet ready,negative,"['Border', 'Guard', 'Service', 'banned', 'mooring', 'company', 'carshipping', 'ferry', 'test', 'travel', 'railroadcar', 'terminal', 'Russian', 'port', 'border', 'checkpoint', 'yet', 'ready']"
Financing project come mainly China,neutral,"['Financing', 'project', 'come', 'mainly', 'China']"
purchase operation part YIT strategy expand offering building system service geographically,positive,"['purchase', 'operation', 'part', 'YIT', 'strategy', 'expand', 'offering', 'building', 'system', 'service', 'geographically']"
Finnish government announced Wednesday sold 32 percent stake chemical fertilizer group Kemira Oyj x20ac 6556 million 890US million sending company share price 6 percent,positive,"['Finnish', 'government', 'announced', 'Wednesday', 'sold', '32', 'percent', 'stake', 'chemical', 'fertilizer', 'group', 'Kemira', 'Oyj', 'x20ac', '6556', 'million', '890US', 'million', 'sending', 'company', 'share', 'price', '6', 'percent']"
fair value company investment property went EUR2 769 bn end September 2009 EUR2 878 bn year earlier,negative,"['fair', 'value', 'company', 'investment', 'property', 'went', 'EUR2', '769', 'bn', 'end', 'September', '2009', 'EUR2', '878', 'bn', 'year', 'earlier']"
UPMKymmene generated seventeen consecutive quarter positive Cash Flow Operations,positive,"['UPMKymmene', 'generated', 'seventeen', 'consecutive', 'quarter', 'positive', 'Cash', 'Flow', 'Operations']"
Konecranes Oyj KCR1V FH fell 55 percent 2051 euro biggest fall since June,neutral,"['Konecranes', 'Oyj', 'KCR1V', 'FH', 'fell', '55', 'percent', '2051', 'euro', 'biggest', 'fall', 'since', 'June']"
CapMan said deal effect cash flow 2009 total EUR3 4 transaction would affect financial result 2009 executed fair value,neutral,"['CapMan', 'said', 'deal', 'effect', 'cash', 'flow', '2009', 'total', 'EUR3', '4', 'transaction', 'would', 'affect', 'financial', 'result', '2009', 'executed', 'fair', 'value']"
Vianor sell tire car truck well range car part provides maintenance service,neutral,"['Vianor', 'sell', 'tire', 'car', 'truck', 'well', 'range', 'car', 'part', 'provides', 'maintenance', 'service']"
Patrick Jeambar also continue responsible Innovation Health safety environment HSEA function Ahlstrom Corporation,neutral,"['Patrick', 'Jeambar', 'also', 'continue', 'responsible', 'Innovation', 'Health', 'safety', 'environment', 'HSEA', 'function', 'Ahlstrom', 'Corporation']"
Founded 1946 Strand Associates provides civil environmental transportation electrical mechanical engineering service 350 employee 10 office Wisconsin Alabama Illinois Indiana Kentucky Ohio,neutral,"['Founded', '1946', 'Strand', 'Associates', 'provides', 'civil', 'environmental', 'transportation', 'electrical', 'mechanical', 'engineering', 'service', '350', 'employee', '10', 'office', 'Wisconsin', 'Alabama', 'Illinois', 'Indiana', 'Kentucky', 'Ohio']"
Royal Mail share price rally amid positive broker comment,positive,"['Royal', 'Mail', 'share', 'price', 'rally', 'amid', 'positive', 'broker', 'comment']"
Shares Standard Chartered STAN rose 12 FTSE 100 Royal Bank Scotland RBS share rose 2 Barclays share BARC BCS 17,positive,"['Shares', 'Standard', 'Chartered', 'STAN', 'rose', '12', 'FTSE', '100', 'Royal', 'Bank', 'Scotland', 'RBS', 'share', 'rose', '2', 'Barclays', 'share', 'BARC', 'BCS', '17']"
purpose possible acquisition PKC would establish subsidiary Poland,neutral,"['purpose', 'possible', 'acquisition', 'PKC', 'would', 'establish', 'subsidiary', 'Poland']"
main business area Glass Machinery Group Glaston Technologies global market leader glass processing machine,positive,"['main', 'business', 'area', 'Glass', 'Machinery', 'Group', 'Glaston', 'Technologies', 'global', 'market', 'leader', 'glass', 'processing', 'machine']"
Operating profit fell EUR 203 mn EUR 742 mn second quarter 2008,negative,"['Operating', 'profit', 'fell', 'EUR', '203', 'mn', 'EUR', '742', 'mn', 'second', 'quarter', '2008']"
Lithuanian beer maker sold 25688 million liter beer 2005 rise 45 per cent yearearlier figure 24592 million liter,positive,"['Lithuanian', 'beer', 'maker', 'sold', '25688', 'million', 'liter', 'beer', '2005', 'rise', '45', 'per', 'cent', 'yearearlier', 'figure', '24592', 'million', 'liter']"
negotiation carried constructive manner party tried find solution situation,positive,"['negotiation', 'carried', 'constructive', 'manner', 'party', 'tried', 'find', 'solution', 'situation']"
result company currently anticipates net sale increase operating result positive,positive,"['result', 'company', 'currently', 'anticipates', 'net', 'sale', 'increase', 'operating', 'result', 'positive']"
company confirmed estimate lower revenue whole 2009 yearago EUR93 9 given interim report 5 August 2009,negative,"['company', 'confirmed', 'estimate', 'lower', 'revenue', 'whole', '2009', 'yearago', 'EUR93', '9', 'given', 'interim', 'report', '5', 'August', '2009']"
company model based developer contracting construction project customer focused project management,neutral,"['company', 'model', 'based', 'developer', 'contracting', 'construction', 'project', 'customer', 'focused', 'project', 'management']"
SeaWind en route Finnish port Turku Stockholm got stuck ice already around 4 pm Wednesday Regal Star journey Swedish port Kapellskar Paldiski northwestern Estonia cut short 2 Thursday,negative,"['SeaWind', 'en', 'route', 'Finnish', 'port', 'Turku', 'Stockholm', 'got', 'stuck', 'ice', 'already', 'around', '4', 'pm', 'Wednesday', 'Regal', 'Star', 'journey', 'Swedish', 'port', 'Kapellskar', 'Paldiski', 'northwestern', 'Estonia', 'cut', 'short', '2', 'Thursday']"
Operating loss amounted EUR 07 mn compared profit EUR 08 mn second quarter 2005,neutral,"['Operating', 'loss', 'amounted', 'EUR', '07', 'mn', 'compared', 'profit', 'EUR', '08', 'mn', 'second', 'quarter', '2005']"
Finnish Scanfil system supplier contract manufacturer communication sector electronics industry report net sale EUR 496 mn first quarter 2009 per cent smaller corresponding period 2008,neutral,"['Finnish', 'Scanfil', 'system', 'supplier', 'contract', 'manufacturer', 'communication', 'sector', 'electronics', 'industry', 'report', 'net', 'sale', 'EUR', '496', 'mn', 'first', 'quarter', '2009', 'per', 'cent', 'smaller', 'corresponding', 'period', '2008']"
sale result capital loss EUR5m Solidium obtained Tikkurila share March 2010,negative,"['sale', 'result', 'capital', 'loss', 'EUR5m', 'Solidium', 'obtained', 'Tikkurila', 'share', 'March', '2010']"
Price talk midmarket swap plus 105 bps area lead Barclays BNPP UBS CBA,neutral,"['Price', 'talk', 'midmarket', 'swap', 'plus', '105', 'bps', 'area', 'lead', 'Barclays', 'BNPP', 'UBS', 'CBA']"
